Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8520.0,8520.0
1,1,8520.0,8519.88
1,2,8534.0,8520.22
1,3,8534.0,8520.98
1,4,8773.0,8532.58
1,5,8775.0,8540.32
1,6,8776.0,8546.88
1,7,8776.0,8559.94
1,8,8777.0,8579.1
1,9,8777.0,8588.32
1,10,8948.0,8584.94
1,11,8948.0,8596.58
1,12,8948.0,8599.22
1,13,8948.0,8590.46
1,14,9128.0,8582.94
1,15,9128.0,8582.38
1,16,9128.0,8572.62
1,17,9128.0,8595.46
1,18,9128.0,8608.36
1,19,9128.0,8625.68
1,20,9128.0,8617.76
1,21,9128.0,8635.9
1,22,9128.0,8606.862745098038
1,23,9129.0,8631.82
1,24,9129.0,8622.86
1,25,9129.0,8639.6
1,26,9129.0,8664.62
1,27,9129.0,8635.42857142857
1,28,9129.0,8653.081632653062
1,29,9129.0,8648.122448979591
1,30,9129.0,8647.755102040815
1,31,9129.0,8651.74
1,32,9129.0,8650.673469387755
1,33,9129.0,8654.265306122448
1,34,9129.0,8655.86
1,35,9129.0,8623.44
1,36,9129.0,8613.2
1,37,9129.0,8640.28
1,38,9174.0,8641.32
1,39,9174.0,8628.74
1,40,9174.0,8658.86
1,41,9174.0,8655.74
1,42,9174.0,8634.38
1,43,9574.0,8670.66
1,44,9574.0,8665.88
1,45,9574.0,8661.46
1,46,9574.0,8667.92
1,47,9574.0,8658.1
1,48,9574.0,8701.72
1,49,9574.0,8668.08
