Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8520.0,8520.0
1,1,8520.0,8519.96
1,2,8782.0,8525.66
1,3,8782.0,8529.18
1,4,8782.0,8534.64
1,5,8782.0,8533.26
1,6,8782.0,8540.32
1,7,8782.0,8541.16
1,8,8782.0,8551.8
1,9,8782.0,8552.04
1,10,8782.0,8563.76
1,11,8782.0,8574.02
1,12,8782.0,8560.78431372549
1,13,8788.0,8582.961538461539
1,14,8984.0,8612.14
1,15,8984.0,8612.333333333334
1,16,8984.0,8593.26
1,17,9683.0,8617.313725490196
1,18,9683.0,8640.529411764706
1,19,9683.0,8680.36
1,20,9683.0,8682.64
1,21,9683.0,8694.08
1,22,9683.0,8667.470588235294
1,23,9683.0,8668.666666666666
1,24,9683.0,8645.078431372549
1,25,9683.0,8689.5
1,26,9683.0,8688.96
1,27,9683.0,8707.16
1,28,9683.0,8695.38
1,29,9683.0,8699.62
1,30,9683.0,8685.66
1,31,9683.0,8705.96
1,32,9683.0,8707.28
1,33,9683.0,8701.3
1,34,9683.0,8703.56
1,35,9683.0,8688.08
1,36,9683.0,8670.28
1,37,9683.0,8698.4
1,38,9683.0,8728.88
1,39,9683.0,8716.74
1,40,9683.0,8672.254901960785
1,41,9683.0,8684.6
1,42,9683.0,8674.037735849057
1,43,9683.0,8701.73076923077
1,44,9683.0,8712.942307692309
1,45,9683.0,8702.843137254902
1,46,9683.0,8687.403846153846
1,47,9683.0,8713.490196078432
1,48,9683.0,8743.29411764706
1,49,9683.0,8724.211538461539
