Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8520.0,8520.0
1,1,8533.0,8520.44
1,2,8535.0,8523.3
1,3,8536.0,8529.38
1,4,8536.0,8531.28
1,5,8536.0,8531.32
1,6,8536.0,8530.3
1,7,8539.0,8529.9
1,8,8539.0,8528.92
1,9,8540.0,8531.54
1,10,8540.0,8528.38
1,11,8540.0,8528.88
1,12,9350.0,8547.26
1,13,9350.0,8549.98
1,14,9350.0,8563.96
1,15,9367.0,8589.88
1,16,9367.0,8640.52
1,17,9988.0,8748.22
1,18,9988.0,8689.42
1,19,9988.0,8716.0
1,20,9994.0,8720.86
1,21,9994.0,8795.38
1,22,9994.0,8689.618181818181
1,23,9994.0,8747.367346938776
1,24,9994.0,8819.44
1,25,9994.0,8782.64705882353
1,26,9994.0,8841.22
1,27,9994.0,8855.9
1,28,9994.0,8878.08
1,29,9994.0,8840.196078431372
