simulacion,generacion,genome_id,fitness
2,1,50,8509.806723944843
2,1,49,8509.806723944843
2,1,48,8509.806723944843
2,1,47,8509.806723944843
2,1,46,8509.806723944843
2,1,45,8509.806723944843
2,1,44,8509.806723944843
2,1,43,8509.806723944843
2,1,42,8509.806723944843
2,1,41,8509.806723944843
2,1,40,8509.806723944843
2,1,39,8509.806723944843
2,1,38,8509.806723944843
2,1,37,8509.806723944843
2,1,36,8509.806723944843
2,1,35,8509.806723944843
2,1,34,8509.806723944843
2,1,33,8509.806723944843
2,1,32,8509.806723944843
2,1,31,8509.806723944843
2,1,30,8509.806723944843
2,1,29,8509.806723944843
2,1,28,8509.806723944843
2,1,27,8509.806723944843
2,1,26,8509.806723944843
2,1,25,8509.806723944843
2,1,24,8509.806723944843
2,1,23,8509.806723944843
2,1,22,8509.806723944843
2,1,21,8509.806723944843
2,1,20,8509.806723944843
2,1,19,8509.806723944843
2,1,18,8509.806723944843
2,1,17,8509.806723944843
2,1,16,8509.806723944843
2,1,15,8509.806723944843
2,1,14,8509.806723944843
2,1,13,8509.806723944843
2,1,12,8509.806723944843
2,1,11,8509.806723944843
2,1,10,8509.806723944843
2,1,9,8509.806723944843
2,1,8,8509.806723944843
2,1,7,8509.806723944843
2,1,6,8509.806723944843
2,1,5,8509.806723944843
2,1,4,8509.806723944843
2,1,3,8509.806723944843
2,1,2,8509.806723944843
2,1,1,8509.806723944843
2,2,95,8509.806723944843
2,2,94,8509.806723944843
2,2,93,8509.806723944843
2,2,92,8509.806723944843
2,2,91,8509.806723944843
2,2,90,8509.806723944843
2,2,89,8507.820386146494
2,2,88,8509.806723944843
2,2,87,8509.806723944843
2,2,86,8509.806723944843
2,2,85,8509.806723944843
2,2,84,8509.806723944843
2,2,83,8509.806723944843
2,2,82,8509.806723944843
2,2,81,8509.806723944843
2,2,80,8509.806723944843
2,2,79,8509.806723944843
2,2,78,8509.806723944843
2,2,77,8509.806723944843
2,2,76,8509.806723944843
2,2,75,8509.806723944843
2,2,73,8509.806723944843
2,2,72,8509.806723944843
2,2,71,8509.806723944843
2,2,70,8509.806723944843
2,2,69,8509.806723944843
2,2,68,8509.806723944843
2,2,67,8509.806723944843
2,2,66,8509.806723944843
2,2,65,8509.806723944843
2,2,64,8509.806723944843
2,2,63,8509.806723944843
2,2,62,8509.806723944843
2,2,61,8509.806723944843
2,2,60,8509.806723944843
2,2,59,8509.806723944843
2,2,58,8509.806723944843
2,2,57,8509.806723944843
2,2,55,8509.806723944843
2,2,54,8509.806723944843
2,2,53,8509.806723944843
2,2,52,8509.806723944843
2,2,51,8509.806723944843
2,2,5,8509.806723944843
2,2,4,8509.806723944843
2,2,3,8509.806723944843
2,2,2,8509.806723944843
2,2,1,8509.806723944843
2,2,56,8524.622760105063
2,2,74,8524.658344653686
2,3,135,8509.806723944843
2,3,134,8509.806723944843
2,3,133,8509.806723944843
2,3,131,8507.820386146494
2,3,130,8509.806723944843
2,3,129,8509.806723944843
2,3,128,8509.806723944843
2,3,127,8509.806723944843
2,3,126,8509.806723944843
2,3,124,8509.806723944843
2,3,123,8509.806723944843
2,3,122,8509.806723944843
2,3,121,8509.806723944843
2,3,119,8509.806723944843
2,3,118,8509.806723944843
2,3,116,8509.806723944843
2,3,115,8507.820386146494
2,3,114,8509.806723944843
2,3,111,8509.806723944843
2,3,110,8509.806723944843
2,3,109,8509.806723944843
2,3,108,8509.806723944843
2,3,107,8509.806723944843
2,3,106,8509.806723944843
2,3,105,8509.806723944843
2,3,104,8509.806723944843
2,3,3,8509.806723944843
2,3,2,8509.806723944843
2,3,1,8509.806723944843
2,3,103,8509.806723944843
2,3,102,8509.806723944843
2,3,101,8509.806723944843
2,3,100,8509.806723944843
2,3,99,8509.806723944843
2,3,98,8509.806723944843
2,3,96,8509.806723944843
2,3,93,8509.806723944843
2,3,92,8509.806723944843
2,3,88,8509.806723944843
2,3,61,8509.806723944843
2,3,54,8509.806723944843
2,3,125,8524.622760105063
2,3,120,8524.516011608393
2,3,113,8524.622760105063
2,3,56,8524.622760105063
2,3,112,8524.254425722374
2,3,117,8526.648378695703
2,3,74,8524.658344653686
2,3,132,8526.548270217174
2,3,97,8528.420916158428
2,4,173,8509.806723944843
2,4,171,8507.820386146494
2,4,169,8509.806723944843
