Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8509.806723944843,8509.806723944843
1,1,8523.628434302529,8510.043431396029
1,2,8527.705192565021,8510.753322710405
1,3,8532.998636674118,8514.69246813475
1,4,8533.113160465335,8523.012260764059
1,5,8533.113160465335,8521.488075209654
1,6,8535.239268685837,8520.50577728308
1,7,8535.239268685837,8524.326519797107
1,8,8535.31948876214,8525.258027211547
1,9,8535.31948876214,8526.045096816311
1,10,8535.31948876214,8525.761294037298
1,11,8535.31948876214,8524.51061048443
1,12,8535.31948876214,8526.478731382487
1,13,8535.605244478116,8528.455723134985
1,14,8535.965847392896,8526.832210625704
1,15,8535.965847392896,8527.123605939467
1,16,8535.965847392896,8526.525051233337
1,17,8535.965847392896,8527.039580429899
1,18,8535.965847392896,8528.612195088645
1,19,8535.965847392896,8528.077293731882
1,20,8535.965847392896,8527.101277158805
1,21,8537.313088866931,8529.120344097339
1,22,8537.313088866931,8528.57387583873
1,23,8537.313088866931,8528.143375786003
1,24,8537.313088866931,8528.497292074655
1,25,8537.313088866931,8529.057248445766
1,26,8537.313088866931,8526.529098521078
1,27,8537.313088866931,8528.48264901259
1,28,8537.313088866931,8525.360223378026
1,29,8544.52859870075,8527.994835195295
