simulacion,generacion,genome_id,fitness
1,1,50,8346.0
1,1,49,8346.0
1,1,48,8346.0
1,1,47,8346.0
1,1,46,8346.0
1,1,45,8346.0
1,1,44,8346.0
1,1,43,8346.0
1,1,42,8346.0
1,1,41,8346.0
1,1,40,8346.0
1,1,39,8346.0
1,1,38,8346.0
1,1,37,8346.0
1,1,36,8346.0
1,1,35,8346.0
1,1,34,8346.0
1,1,33,8346.0
1,1,32,8346.0
1,1,31,8346.0
1,1,30,8346.0
1,1,29,8346.0
1,1,28,8346.0
1,1,27,8346.0
1,1,26,8346.0
1,1,25,8346.0
1,1,24,8346.0
1,1,23,8346.0
1,1,22,8346.0
1,1,21,8346.0
1,1,20,8346.0
1,1,19,8346.0
1,1,18,8346.0
1,1,17,8346.0
1,1,16,8346.0
1,1,15,8346.0
1,1,14,8346.0
1,1,13,8346.0
1,1,12,8346.0
1,1,11,8346.0
1,1,10,8346.0
1,1,9,8346.0
1,1,8,8346.0
1,1,7,8346.0
1,1,6,8346.0
1,1,5,8346.0
1,1,4,8346.0
1,1,3,8346.0
1,1,2,8346.0
1,1,1,8346.0
1,2,95,8346.0
1,2,94,8344.0
1,2,93,8346.0
1,2,92,8346.0
1,2,91,8346.0
1,2,90,8346.0
1,2,89,8346.0
1,2,88,8346.0
1,2,87,8344.0
1,2,86,8346.0
1,2,85,8346.0
1,2,84,8346.0
1,2,83,8346.0
1,2,82,8344.0
1,2,81,8346.0
1,2,80,8346.0
1,2,79,8346.0
1,2,78,8346.0
1,2,76,8346.0
1,2,74,8346.0
1,2,73,8346.0
1,2,71,8346.0
1,2,70,8346.0
1,2,69,8346.0
1,2,68,8344.0
1,2,67,8346.0
1,2,66,8346.0
1,2,64,8346.0
1,2,63,8346.0
1,2,62,8346.0
1,2,61,8346.0
1,2,60,8346.0
1,2,59,8346.0
1,2,58,8346.0
1,2,57,8346.0
1,2,56,8346.0
1,2,55,8346.0
1,2,54,8346.0
1,2,53,8346.0
1,2,51,8346.0
1,2,5,8346.0
1,2,4,8346.0
1,2,3,8346.0
1,2,2,8346.0
1,2,1,8346.0
1,2,65,8351.0
1,2,72,8376.0
1,2,77,8381.0
1,2,75,8380.0
1,2,52,8414.0
1,3,140,8346.0
1,3,138,8344.0
1,3,136,8346.0
1,3,135,8346.0
1,3,134,8344.0
1,3,133,8346.0
1,3,132,8344.0
1,3,131,8346.0
1,3,130,8344.0
1,3,129,8346.0
1,3,124,8344.0
1,3,123,8346.0
1,3,122,8344.0
1,3,121,8346.0
1,3,120,8346.0
1,3,119,8344.0
1,3,117,8346.0
1,3,116,8346.0
1,3,115,8346.0
1,3,114,8346.0
1,3,112,8344.0
1,3,110,8346.0
1,3,107,8344.0
1,3,105,8346.0
1,3,104,8346.0
1,3,102,8345.0
1,3,101,8344.0
1,3,100,8344.0
1,3,65,8351.0
1,3,139,8375.0
1,3,137,8375.0
1,3,128,8375.0
1,3,127,8375.0
1,3,126,8375.0
1,3,125,8375.0
1,3,111,8375.0
1,3,109,8367.0
1,3,106,8375.0
1,3,99,8375.0
1,3,98,8376.0
1,3,96,8375.0
1,3,72,8376.0
1,3,113,8371.0
1,3,75,8380.0
1,3,77,8381.0
1,3,108,8387.0
1,3,103,8392.0
1,3,118,8403.0
1,3,97,8413.0
1,3,52,8414.0
1,4,179,8344.0
1,4,178,8344.0
1,4,176,8346.0
1,4,174,8346.0
1,4,172,8344.0
1,4,165,8346.0
1,4,158,8345.0
1,4,157,8344.0
1,4,154,8345.0
1,4,152,8345.0
1,4,151,8344.0
1,4,150,8345.0
1,4,149,8344.0
1,4,147,8346.0
1,4,144,8344.0
1,4,143,8344.0
1,4,141,8346.0
1,4,116,8346.0
1,4,114,8346.0
1,4,105,8346.0
1,4,104,8346.0
1,4,162,8351.0
1,4,160,8351.0
1,4,163,8357.0
1,4,153,8356.0
1,4,180,8376.0
1,4,175,8376.0
1,4,171,8375.0
1,4,166,8376.0
1,4,161,8375.0
1,4,159,8375.0
1,4,146,8376.0
1,4,145,8375.0
1,4,142,8375.0
1,4,170,8381.0
1,4,77,8381.0
1,4,173,8387.0
1,4,167,8387.0
1,4,164,8387.0
1,4,108,8387.0
1,4,168,8380.0
1,4,103,8392.0
1,4,148,8409.0
1,4,118,8403.0
1,4,97,8413.0
1,4,156,8422.0
1,4,52,8414.0
1,4,155,8416.0
1,4,169,8411.0
1,4,177,8321.0
1,5,220,8345.0
1,5,214,8346.0
1,5,211,8344.0
1,5,210,8344.0
1,5,203,8344.0
1,5,191,8344.0
1,5,188,8344.0
1,5,186,8344.0
1,5,184,8346.0
1,5,217,8351.0
1,5,204,8351.0
1,5,206,8374.0
1,5,193,8375.0
1,5,190,8375.0
1,5,189,8376.0
1,5,185,8375.0
1,5,182,8375.0
1,5,145,8375.0
1,5,142,8375.0
1,5,146,8376.0
1,5,215,8381.0
1,5,195,8381.0
1,5,77,8381.0
1,5,208,8387.0
1,5,200,8387.0
1,5,198,8386.0
1,5,187,8374.0
1,5,209,8392.0
1,5,183,8382.0
1,5,103,8392.0
1,5,97,8413.0
1,5,202,8414.0
1,5,201,8445.0
1,5,192,8460.0
1,5,181,8473.0
1,5,216,8502.0
1,5,197,8477.0
1,5,196,8417.0
1,5,219,8421.0
1,5,218,8421.0
1,5,213,8439.0
1,5,205,8430.0
1,5,199,8424.0
1,5,52,8414.0
1,5,156,8422.0
1,5,207,8415.0
1,5,155,8416.0
1,5,169,8411.0
1,5,212,8322.0
1,5,194,8326.0
1,6,260,8344.0
1,6,247,8346.0
1,6,244,8345.0
1,6,243,8345.0
1,6,238,8344.0
1,6,237,8345.0
1,6,233,8344.0
1,6,230,8346.0
1,6,229,8345.0
1,6,228,8344.0
1,6,254,8351.0
1,6,258,8376.0
1,6,236,8375.0
1,6,232,8375.0
1,6,227,8376.0
1,6,223,8375.0
1,6,221,8375.0
1,6,231,8381.0
1,6,225,8373.0
1,6,257,8387.0
1,6,250,8387.0
1,6,240,8387.0
1,6,224,8392.0
1,6,103,8392.0
1,6,252,8398.0
1,6,242,8398.0
1,6,234,8384.0
1,6,226,8398.0
1,6,253,8402.0
1,6,249,8404.0
1,6,222,8394.0
1,6,259,8424.0
1,6,241,8431.0
1,6,201,8445.0
1,6,245,8427.0
1,6,192,8460.0
1,6,181,8473.0
1,6,256,8505.0
1,6,246,8531.0
1,6,216,8502.0
1,6,197,8477.0
1,6,196,8417.0
1,6,205,8430.0
1,6,213,8439.0
1,6,218,8421.0
1,6,251,8422.0
1,6,248,8423.0
1,6,239,8423.0
1,6,255,8323.0
1,6,235,8715.0
1,7,299,8344.0
1,7,297,8344.0
1,7,295,8346.0
1,7,287,8344.0
1,7,285,8345.0
1,7,280,8346.0
1,7,278,8346.0
1,7,276,8344.0
1,7,273,8345.0
1,7,271,8344.0
1,7,268,8344.0
1,7,264,8344.0
1,7,267,8360.0
1,7,266,8375.0
1,7,270,8381.0
1,7,269,8379.0
1,7,291,8369.0
1,7,103,8392.0
1,7,279,8386.0
1,7,226,8398.0
1,7,296,8395.0
1,7,222,8394.0
1,7,272,8418.0
1,7,282,8423.0
1,7,263,8441.0
1,7,300,8429.0
1,7,261,8448.0
1,7,294,8452.0
1,7,284,8447.0
1,7,192,8460.0
1,7,181,8473.0
1,7,265,8496.0
1,7,256,8505.0
1,7,262,8531.0
1,7,293,8524.0
1,7,246,8531.0
1,7,216,8502.0
1,7,197,8477.0
1,7,281,8464.0
1,7,298,8420.0
1,7,292,8420.0
1,7,289,8436.0
1,7,286,8417.0
1,7,277,8413.0
1,7,275,8420.0
1,7,274,8415.0
1,7,288,8413.0
1,7,290,8408.0
1,7,283,8321.0
1,7,235,8715.0
1,8,339,8345.0
1,8,331,8344.0
1,8,324,8344.0
1,8,312,8344.0
1,8,308,8344.0
1,8,307,8344.0
1,8,329,8351.0
1,8,340,8358.0
1,8,310,8376.0
1,8,301,8375.0
1,8,305,8381.0
1,8,336,8381.0
1,8,328,8386.0
1,8,313,8387.0
1,8,304,8387.0
1,8,311,8389.0
1,8,303,8391.0
1,8,319,8401.0
1,8,317,8411.0
1,8,325,8395.0
1,8,320,8433.0
1,8,333,8423.0
1,8,334,8389.0
1,8,314,8443.0
1,8,309,8442.0
1,8,306,8442.0
1,8,316,8449.0
1,8,335,8458.0
1,8,261,8448.0
1,8,192,8460.0
1,8,181,8473.0
1,8,265,8496.0
1,8,256,8505.0
1,8,315,8428.0
1,8,262,8531.0
1,8,330,8532.0
1,8,293,8524.0
1,8,322,8525.0
1,8,246,8531.0
1,8,216,8502.0
1,8,327,8468.0
1,8,332,8463.0
1,8,326,8420.0
1,8,323,8416.0
1,8,321,8407.0
1,8,337,8324.0
1,8,338,8319.0
1,8,318,8534.0
1,8,235,8715.0
1,8,302,8431.0
1,9,379,8344.0
1,9,359,8346.0
1,9,356,8344.0
1,9,352,8344.0
1,9,350,8344.0
1,9,347,8345.0
1,9,343,8345.0
1,9,341,8342.0
1,9,378,8355.0
1,9,376,8365.0
1,9,354,8375.0
1,9,353,8375.0
1,9,348,8375.0
1,9,375,8373.0
1,9,373,8381.0
1,9,374,8385.0
1,9,370,8387.0
1,9,346,8387.0
1,9,344,8392.0
1,9,372,8399.0
1,9,342,8408.0
1,9,365,8393.0
1,9,349,8422.0
1,9,355,8443.0
1,9,368,8437.0
1,9,351,8448.0
1,9,345,8457.0
1,9,261,8448.0
1,9,363,8422.0
1,9,192,8460.0
1,9,181,8473.0
1,9,360,8430.0
1,9,265,8496.0
1,9,377,8490.0
1,9,262,8531.0
1,9,330,8532.0
1,9,322,8525.0
1,9,246,8531.0
1,9,361,8479.0
1,9,371,8468.0
1,9,380,8424.0
1,9,367,8420.0
1,9,369,8424.0
1,9,366,8423.0
1,9,357,8403.0
1,9,364,8347.0
1,9,358,8321.0
1,9,318,8534.0
1,9,235,8715.0
1,9,362,8374.0
1,10,419,8344.0
1,10,417,8344.0
1,10,415,8345.0
1,10,413,8345.0
1,10,412,8344.0
1,10,407,8346.0
1,10,406,8344.0
1,10,401,8344.0
1,10,394,8344.0
1,10,393,8346.0
1,10,391,8345.0
1,10,386,8344.0
1,10,383,8345.0
1,10,410,8376.0
1,10,399,8376.0
1,10,390,8375.0
1,10,382,8375.0
1,10,381,8375.0
1,10,400,8379.0
1,10,387,8391.0
1,10,385,8392.0
1,10,416,8399.0
1,10,395,8399.0
1,10,397,8401.0
1,10,396,8422.0
1,10,403,8437.0
1,10,405,8435.0
1,10,388,8452.0
1,10,384,8456.0
1,10,389,8461.0
1,10,192,8460.0
1,10,181,8473.0
1,10,392,8487.0
1,10,265,8496.0
1,10,404,8510.0
1,10,377,8490.0
1,10,262,8531.0
1,10,330,8532.0
1,10,322,8525.0
1,10,246,8531.0
1,10,414,8413.0
1,10,398,8357.0
1,10,418,8354.0
1,10,408,8356.0
1,10,420,8344.0
1,10,409,8343.0
1,10,411,8324.0
1,10,318,8534.0
1,10,235,8715.0
1,10,402,8410.0
1,11,459,8344.0
1,11,458,8345.0
1,11,452,8344.0
1,11,447,8346.0
1,11,443,8346.0
1,11,427,8344.0
1,11,421,8345.0
1,11,449,8364.0
1,11,448,8375.0
1,11,445,8376.0
1,11,436,8367.0
1,11,434,8376.0
1,11,428,8365.0
1,11,423,8375.0
1,11,438,8381.0
1,11,424,8379.0
1,11,422,8377.0
1,11,425,8379.0
1,11,400,8379.0
1,11,442,8392.0
1,11,426,8392.0
1,11,439,8397.0
1,11,437,8417.0
1,11,432,8411.0
1,11,433,8433.0
1,11,430,8435.0
1,11,454,8443.0
1,11,440,8442.0
1,11,431,8443.0
1,11,429,8444.0
1,11,435,8461.0
1,11,181,8473.0
1,11,446,8477.0
1,11,392,8487.0
1,11,265,8496.0
1,11,377,8490.0
1,11,456,8462.0
1,11,262,8531.0
1,11,330,8532.0
1,11,322,8525.0
1,11,246,8531.0
1,11,444,8517.0
1,11,457,8493.0
1,11,450,8453.0
1,11,455,8420.0
1,11,453,8416.0
1,11,441,8353.0
1,11,318,8534.0
1,11,451,8518.0
1,11,235,8715.0
1,12,495,8345.0
1,12,494,8345.0
1,12,493,8345.0
1,12,483,8344.0
1,12,477,8345.0
1,12,473,8344.0
1,12,471,8343.0
1,12,467,8344.0
1,12,465,8345.0
1,12,464,8344.0
1,12,462,8344.0
1,12,466,8359.0
1,12,490,8375.0
1,12,460,8375.0
1,12,423,8375.0
1,12,422,8377.0
1,12,424,8379.0
1,12,461,8386.0
1,12,425,8379.0
1,12,400,8379.0
1,12,480,8383.0
1,12,474,8398.0
1,12,485,8409.0
1,12,491,8410.0
1,12,487,8432.0
1,12,472,8435.0
1,12,470,8435.0
1,12,463,8457.0
1,12,181,8473.0
1,12,482,8433.0
1,12,392,8487.0
1,12,489,8489.0
1,12,265,8496.0
1,12,468,8485.0
1,12,377,8490.0
1,12,262,8531.0
1,12,330,8532.0
1,12,322,8525.0
1,12,246,8531.0
1,12,469,8432.0
1,12,488,8412.0
1,12,481,8416.0
1,12,479,8420.0
1,12,475,8391.0
1,12,484,8385.0
1,12,478,8358.0
1,12,486,8417.0
1,12,492,8429.0
1,12,318,8534.0
1,12,476,8383.0
1,12,235,8715.0
1,13,528,8345.0
1,13,526,8346.0
1,13,523,8345.0
1,13,522,8344.0
1,13,521,8344.0
1,13,507,8346.0
1,13,504,8344.0
1,13,503,8344.0
1,13,501,8344.0
1,13,500,8344.0
1,13,499,8346.0
1,13,517,8367.0
1,13,496,8374.0
1,13,422,8377.0
1,13,424,8379.0
1,13,497,8380.0
1,13,425,8379.0
1,13,400,8379.0
1,13,461,8386.0
1,13,498,8382.0
1,13,508,8401.0
1,13,506,8413.0
1,13,505,8413.0
1,13,530,8410.0
1,13,524,8417.0
1,13,512,8421.0
1,13,518,8442.0
1,13,516,8447.0
1,13,509,8457.0
1,13,502,8457.0
1,13,525,8483.0
1,13,511,8482.0
1,13,392,8487.0
1,13,513,8436.0
1,13,265,8496.0
1,13,468,8485.0
1,13,377,8490.0
1,13,510,8517.0
1,13,531,8526.0
1,13,262,8531.0
1,13,330,8532.0
1,13,322,8525.0
1,13,246,8531.0
1,13,515,8513.0
1,13,519,8497.0
