Simulacion,Generacion,Mejor Fitness,Fitness Promedio
2,0,8346.0,8346.0
2,1,8381.0,8347.3
2,2,8603.0,8362.88
2,3,8663.0,8390.02
2,4,8789.0,8407.26
2,5,8789.0,8420.06
2,6,8789.0,8424.836734693878
2,7,8789.0,8444.32
2,8,8789.0,8448.82
2,9,8789.0,8455.918367346938
2,10,9357.0,8462.26
2,11,9357.0,8462.56
2,12,9357.0,8468.775510204081
2,13,9357.0,8466.74
2,14,9357.0,8469.65306122449
2,15,9357.0,8480.56
2,16,9357.0,8485.235294117647
2,17,9357.0,8498.64705882353
2,18,9357.0,8489.803921568628
2,19,9357.0,8502.38
2,20,9618.0,8512.058823529413
2,21,9618.0,8515.4
2,22,9618.0,8501.764705882353
2,23,9618.0,8506.686274509804
2,24,9618.0,8505.82
2,25,9618.0,8525.530612244898
2,26,9618.0,8540.450980392157
2,27,9618.0,8538.510204081633
2,28,9618.0,8539.836734693878
2,29,9618.0,8531.755102040815
