Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8509.806723944843,8509.806723944843
1,1,8527.251209472573,8510.410072652703
1,2,8533.113160465335,8513.542572622551
1,3,8533.113160465335,8519.064963647397
1,4,8732.60424491795,8526.319753270282
1,5,8774.52825409967,8533.170414108508
1,6,8779.061836127645,8548.734091436983
1,7,9880.731395581235,8600.33124201713
1,8,9880.731395581235,8621.408222972712
1,9,9880.731395581235,8613.894732987445
1,10,9880.731395581235,8604.439647579238
1,11,9880.731395581235,8633.624837503205
1,12,9880.731395581235,8616.109471329632
1,13,9880.731395581235,8636.35911177882
1,14,9880.731395581235,8633.425004581028
1,15,9880.731395581235,8632.70104601929
1,16,9880.731395581235,8657.501640679384
1,17,9880.731395581235,8685.46659527219
1,18,9880.731395581235,8675.401092050912
1,19,9984.768453788272,8715.072226054526
1,20,9984.768453788272,8742.224777453146
1,21,9984.768453788272,8802.57183524202
1,22,9984.768453788272,8794.725825050058
1,23,9984.768453788272,8766.96149242711
1,24,9984.768453788272,8794.487232096832
1,25,9984.768453788272,8851.204558973559
1,26,9984.768453788272,8841.407364912022
1,27,9984.768453788272,8816.349424085814
1,28,9984.768453788272,8878.424165775854
1,29,9984.768453788272,8842.069701371329
1,30,9984.768453788272,8839.294699139175
1,31,9984.768453788272,8848.116169656252
1,32,9984.768453788272,8864.366168159551
1,33,9984.768453788272,8887.890797643548
1,34,9984.768453788272,8901.616032423288
1,35,9984.768453788272,8919.186643905274
1,36,9984.768453788272,8916.43440930042
1,37,9984.768453788272,8950.043402265246
1,38,9984.768453788272,8946.298870421604
1,39,9984.768453788272,8951.718332989143
1,40,9984.768453788272,9007.087569398007
1,41,9984.768453788272,9049.45596126716
1,42,9984.768453788272,9073.506544650276
1,43,9984.768453788272,9041.417383457021
1,44,9984.768453788272,9024.919951953296
1,45,9984.768453788272,9036.624252963196
1,46,9984.768453788272,8988.364084860055
1,47,9984.768453788272,9018.303932545728
1,48,9984.768453788272,9018.148484687834
1,49,9984.768453788272,9060.760831097308
