Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8509.806723944843,8509.806723944843
1,1,8509.806723944843,8509.794974812648
1,2,8509.806723944843,8509.79261969159
1,3,8527.251209472573,8510.158455405786
1,4,8533.834934258764,8513.26502613269
1,5,8759.481963049308,8526.381100811162
1,6,8761.471437551802,8532.236382364177
1,7,8775.937093119803,8540.727370455797
1,8,8775.966912211929,8552.363079637587
1,9,9625.998663103994,8587.12131426652
1,10,9625.998663103994,8610.858744834157
1,11,9625.998663103994,8607.116806176418
1,12,9625.998663103994,8631.063849217839
1,13,9625.998663103994,8650.414025333645
1,14,9627.021448337844,8652.465448638726
1,15,9627.021448337844,8682.532944786084
1,16,9627.021448337844,8679.788000620783
1,17,9627.021448337844,8666.88092117825
1,18,9627.021448337844,8711.189915306828
1,19,9627.021448337844,8704.096487260336
1,20,9627.021448337844,8708.274083036564
1,21,9865.985075457993,8739.826394544089
1,22,9865.985075457993,8728.23619627967
1,23,9865.985075457993,8754.57156526648
1,24,9865.985075457993,8802.119150390015
1,25,9865.985075457993,8799.256053832914
1,26,9865.985075457993,8797.233264642868
1,27,9865.985075457993,8812.790227688327
1,28,9865.985075457993,8793.269772550833
1,29,9885.470527810523,8837.581417856669
1,30,9987.834474939404,8823.778200589559
1,31,9987.834474939404,8806.024908913016
1,32,9987.958405421208,8817.102426165407
1,33,9987.958405421208,8846.144940417213
1,34,9987.958405421208,8852.965908789265
1,35,9987.958405421208,8833.890938390445
1,36,9987.958405421208,8870.347547660256
1,37,9987.958405421208,8863.029166779424
1,38,9987.958405421208,8799.89928301729
1,39,9987.958405421208,8838.020406542611
1,40,9987.958405421208,8839.756678063706
1,41,9989.55969349109,8867.946403559177
1,42,9989.55969349109,8839.553159190249
1,43,9989.55969349109,8881.822101415535
1,44,9989.55969349109,8841.571856735392
1,45,9989.55969349109,8840.712731533296
1,46,9989.55969349109,8823.49041533394
1,47,9989.95012437888,8900.003595441922
1,48,9989.95012437888,8836.390030186441
1,49,9989.95012437888,8874.074197843574
