Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8509.806723944843,8509.806723944843
1,1,8533.650791932563,8510.951644686347
1,2,8757.643368432397,8520.95308031173
1,3,8757.643368432397,8527.39602814177
1,4,8757.643368432397,8525.772257040651
1,5,8757.643368432397,8525.808275833328
1,6,8757.643368432397,8527.017674957779
1,7,8757.643368432397,8526.534445869256
1,8,8764.462060477299,8534.410083122824
1,9,8774.973877829538,8539.679746539234
1,10,8774.973877829538,8539.39561369779
1,11,8774.973877829538,8547.217550912255
1,12,8774.973877829538,8560.038293592364
1,13,8774.973877829538,8564.582219405951
1,14,8911.797353430897,8575.633542884982
1,15,8911.797353430897,8580.918784634705
1,16,8911.797353430897,8588.630572331036
1,17,9195.592143250702,8595.271912301916
1,18,9195.592143250702,8593.402053059297
1,19,9195.592143250702,8593.787582612555
1,20,9195.592143250702,8602.960669642836
1,21,9195.592143250702,8600.478701734792
1,22,9195.592143250702,8599.97243864168
1,23,9195.592143250702,8594.959987702849
1,24,9195.592143250702,8611.674537656132
1,25,9195.592143250702,8606.575857262633
1,26,9195.592143250702,8603.510618212456
1,27,9195.592143250702,8612.019967381559
1,28,9195.592143250702,8651.958709111435
1,29,9195.592143250702,8626.971160437872
1,30,9248.291944967996,8629.45561123639
1,31,9626.26212394246,8667.970085632869
1,32,9626.26212394246,8639.984496467952
1,33,9626.26212394246,8665.030125846892
1,34,9626.26212394246,8668.564776218676
1,35,9626.26212394246,8654.113124445174
1,36,9626.26212394246,8680.253495944029
1,37,9626.26212394246,8654.081590740134
1,38,9626.26212394246,8669.961341416427
1,39,9626.26212394246,8669.162377308436
1,40,9626.26212394246,8677.705034946548
1,41,9626.26212394246,8666.622456199097
1,42,9626.26212394246,8659.970937319165
1,43,9626.26212394246,8665.811973731948
1,44,9626.26212394246,8693.81623038542
1,45,9626.26212394246,8685.338842825431
1,46,9626.26212394246,8687.865465069453
1,47,9626.26212394246,8704.691290714269
1,48,9626.26212394246,8701.446950916941
1,49,9626.26212394246,8712.259831879688
