Simulacion,Generacion,Mejor Fitness,Fitness Promedio
6,0,8509.806723944843,8509.806723944843
6,1,8533.533157551798,8510.167207393555
6,2,8672.011295228758,8514.830727373059
6,3,8672.011295228758,8519.6558569791
6,4,8672.011295228758,8523.864298706128
6,5,8781.875211647017,8531.992475471283
6,6,8781.875211647017,8528.754976676844
6,7,8781.875211647017,8531.185773584706
6,8,8781.875211647017,8537.053978375618
6,9,8781.875211647017,8555.054112515212
6,10,8781.875211647017,8582.30757574053
6,11,8781.875211647017,8602.005452404663
6,12,8781.875211647017,8609.475015246473
6,13,8781.875211647017,8615.423657332392
6,14,8781.875211647017,8606.144636870027
6,15,8781.875211647017,8628.487654494962
6,16,8781.875211647017,8618.465667240076
6,17,8781.875211647017,8615.319708676729
6,18,8781.875211647017,8619.451178838573
6,19,8781.875211647017,8618.845817945748
