Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8509.806723944843,8509.806723944843
1,1,8524.516011608393,8510.02145618618
1,2,8532.086855430472,8512.86140015244
1,3,8536.474803770021,8522.923009239932
1,4,9167.783681967243,8544.383264096881
1,5,9236.056284795797,8573.732687654301
1,6,9382.345565870364,8618.34550654208
1,7,9382.345565870364,8605.872304013279
1,8,9881.391399974538,8630.303516979591
1,9,9881.792555225993,8678.141484339349
1,10,9881.792555225993,8709.250877380677
1,11,9881.792555225993,8704.352186415099
1,12,9881.792555225993,8735.941456124656
1,13,9881.792555225993,8693.473895478981
1,14,9881.792555225993,8714.692079070168
1,15,9881.792555225993,8698.549163327487
1,16,9881.792555225993,8726.167386798255
1,17,9881.792555225993,8706.067257609817
1,18,9881.792555225993,8727.422442916426
1,19,9881.792555225993,8707.575326052705
