Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8346.0,8346.0
1,1,8497.0,8353.66
1,2,8522.0,8376.12
1,3,8522.0,8396.8
1,4,8522.0,8398.86
1,5,8683.0,8411.34
1,6,8683.0,8411.7
1,7,8683.0,8404.58
1,8,8683.0,8401.62
1,9,8683.0,8406.14
1,10,8683.0,8423.02
1,11,8683.0,8406.42
1,12,8683.0,8422.12
1,13,8683.0,8421.2
1,14,8683.0,8418.38
1,15,8683.0,8419.9
1,16,8683.0,8418.5
1,17,9102.0,8440.3
1,18,9102.0,8441.142857142857
1,19,9102.0,8424.566037735849
1,20,9102.0,8432.18
1,21,9102.0,8429.28
1,22,9102.0,8435.76
1,23,9102.0,8438.941176470587
1,24,9102.0,8451.274509803921
1,25,9102.0,8452.14
1,26,9102.0,8472.92
1,27,9102.0,8453.627450980392
1,28,9102.0,8480.941176470587
1,29,9102.0,8459.666666666666
1,30,9677.0,8495.843137254902
1,31,9677.0,8492.509803921568
1,32,9677.0,8486.823529411764
1,33,9677.0,8483.66
1,34,9677.0,8506.26
1,35,9677.0,8486.58
1,36,9677.0,8482.078431372549
1,37,9677.0,8488.62
1,38,9679.0,8521.8
1,39,9679.0,8522.98
1,40,9679.0,8541.36
1,41,9679.0,8541.92
1,42,9679.0,8527.16
1,43,9679.0,8533.86
1,44,9679.0,8562.14
1,45,9679.0,8549.6
1,46,9679.0,8564.14
1,47,9679.0,8555.28
1,48,9679.0,8551.28
1,49,9679.0,8531.42
