simulacion,generacion,genome_id,fitness
1,1,50,8346.0
1,1,49,8346.0
1,1,48,8346.0
1,1,47,8346.0
1,1,46,8346.0
1,1,45,8346.0
1,1,44,8346.0
1,1,43,8346.0
1,1,42,8346.0
1,1,41,8346.0
1,1,40,8346.0
1,1,39,8346.0
1,1,38,8346.0
1,1,37,8346.0
1,1,36,8346.0
1,1,35,8346.0
1,1,34,8346.0
1,1,33,8346.0
1,1,32,8346.0
1,1,31,8346.0
1,1,30,8346.0
1,1,29,8346.0
1,1,28,8346.0
1,1,27,8346.0
1,1,26,8346.0
1,1,25,8346.0
1,1,24,8346.0
1,1,23,8346.0
1,1,22,8346.0
1,1,21,8346.0
1,1,20,8346.0
1,1,19,8346.0
1,1,18,8346.0
1,1,17,8346.0
1,1,16,8346.0
1,1,15,8346.0
1,1,14,8346.0
1,1,13,8346.0
1,1,12,8346.0
1,1,11,8346.0
1,1,10,8346.0
1,1,9,8346.0
1,1,8,8346.0
1,1,7,8346.0
1,1,6,8346.0
1,1,5,8346.0
1,1,4,8346.0
1,1,3,8346.0
1,1,2,8346.0
1,1,1,8346.0
1,2,95,8346.0
1,2,94,8346.0
1,2,93,8346.0
1,2,92,8346.0
1,2,91,8346.0
1,2,90,8346.0
1,2,89,8346.0
1,2,88,8346.0
1,2,87,8346.0
1,2,86,8346.0
1,2,84,8346.0
1,2,83,8346.0
1,2,82,8346.0
1,2,81,8346.0
1,2,80,8346.0
1,2,79,8346.0
1,2,78,8346.0
1,2,77,8346.0
1,2,76,8346.0
1,2,75,8346.0
1,2,74,8346.0
1,2,73,8346.0
1,2,72,8346.0
1,2,71,8346.0
1,2,70,8346.0
1,2,69,8346.0
1,2,68,8346.0
1,2,67,8346.0
1,2,66,8346.0
1,2,65,8346.0
1,2,64,8346.0
1,2,63,8346.0
1,2,62,8346.0
1,2,61,8346.0
1,2,60,8344.0
1,2,59,8346.0
1,2,58,8346.0
1,2,57,8346.0
1,2,56,8346.0
1,2,55,8346.0
1,2,54,8346.0
1,2,53,8346.0
1,2,52,8346.0
1,2,51,8346.0
1,2,5,8346.0
1,2,4,8346.0
1,2,3,8346.0
1,2,2,8346.0
1,2,1,8346.0
1,2,85,8387.0
1,3,134,8346.0
1,3,133,8346.0
1,3,132,8344.0
1,3,131,8346.0
1,3,130,8346.0
1,3,125,8346.0
1,3,124,8346.0
1,3,123,8346.0
1,3,122,8346.0
1,3,121,8346.0
1,3,120,8346.0
1,3,119,8346.0
1,3,118,8346.0
1,3,117,8346.0
1,3,116,8346.0
1,3,115,8346.0
1,3,114,8346.0
1,3,113,8346.0
1,3,112,8346.0
1,3,110,8346.0
1,3,109,8346.0
1,3,4,8346.0
1,3,3,8346.0
1,3,2,8346.0
1,3,1,8346.0
1,3,108,8346.0
1,3,107,8344.0
1,3,106,8346.0
1,3,105,8346.0
1,3,104,8346.0
1,3,103,8346.0
1,3,102,8346.0
1,3,101,8346.0
1,3,99,8346.0
1,3,98,8346.0
1,3,96,8346.0
1,3,57,8346.0
1,3,56,8346.0
1,3,53,8346.0
1,3,52,8346.0
1,3,51,8346.0
1,3,128,8375.0
1,3,127,8375.0
1,3,126,8375.0
1,3,129,8382.0
1,3,135,8387.0
1,3,85,8387.0
1,3,100,8383.0
1,3,97,8428.0
1,3,111,8504.0
1,4,172,8344.0
1,4,157,8346.0
1,4,154,8346.0
1,4,149,8344.0
1,4,148,8344.0
1,4,147,8346.0
1,4,144,8346.0
1,4,142,8344.0
1,4,141,8346.0
1,4,140,8346.0
1,4,139,8344.0
1,4,138,8346.0
1,4,137,8346.0
1,4,136,8346.0
1,4,53,8346.0
1,4,52,8346.0
1,4,51,8346.0
1,4,175,8375.0
1,4,174,8375.0
1,4,171,8376.0
1,4,170,8375.0
1,4,169,8376.0
1,4,165,8375.0
1,4,164,8375.0
1,4,163,8375.0
1,4,162,8376.0
1,4,160,8375.0
1,4,158,8375.0
1,4,156,8375.0
1,4,155,8375.0
1,4,152,8375.0
1,4,151,8375.0
1,4,128,8375.0
1,4,153,8381.0
1,4,129,8382.0
1,4,173,8381.0
1,4,168,8387.0
1,4,167,8387.0
1,4,166,8387.0
1,4,159,8387.0
1,4,85,8387.0
1,4,135,8387.0
1,4,100,8383.0
1,4,146,8422.0
1,4,97,8428.0
1,4,143,8449.0
1,4,150,8484.0
1,4,111,8504.0
1,4,145,8421.0
1,4,161,8323.0
1,5,215,8344.0
1,5,213,8344.0
1,5,212,8346.0
1,5,205,8344.0
1,5,203,8345.0
1,5,202,8346.0
1,5,194,8346.0
1,5,192,8344.0
1,5,190,8346.0
1,5,188,8346.0
1,5,185,8346.0
1,5,184,8346.0
1,5,183,8346.0
1,5,180,8344.0
1,5,179,8346.0
1,5,178,8344.0
1,5,176,8344.0
1,5,137,8346.0
1,5,136,8346.0
1,5,51,8346.0
1,5,200,8376.0
1,5,193,8375.0
1,5,186,8376.0
1,5,214,8381.0
1,5,211,8381.0
1,5,207,8382.0
1,5,208,8387.0
1,5,206,8387.0
1,5,198,8387.0
1,5,196,8387.0
1,5,189,8387.0
1,5,187,8387.0
1,5,181,8373.0
1,5,100,8383.0
1,5,204,8390.0
1,5,191,8402.0
1,5,146,8422.0
1,5,197,8427.0
1,5,97,8428.0
1,5,209,8437.0
1,5,143,8449.0
1,5,195,8473.0
1,5,210,8476.0
1,5,150,8484.0
1,5,111,8504.0
1,5,199,8513.0
1,5,177,8515.0
1,5,182,8464.0
1,5,201,8427.0
1,5,145,8421.0
1,6,255,8344.0
1,6,246,8346.0
1,6,245,8344.0
1,6,243,8346.0
1,6,238,8346.0
1,6,236,8346.0
1,6,235,8344.0
1,6,231,8345.0
1,6,229,8346.0
1,6,226,8345.0
1,6,220,8346.0
1,6,216,8346.0
1,6,253,8376.0
1,6,249,8375.0
1,6,241,8375.0
1,6,239,8381.0
1,6,232,8382.0
1,6,251,8387.0
1,6,244,8387.0
1,6,237,8387.0
1,6,233,8387.0
1,6,227,8386.0
1,6,225,8387.0
1,6,221,8387.0
1,6,217,8387.0
1,6,224,8408.0
1,6,219,8413.0
1,6,230,8419.0
1,6,146,8422.0
1,6,97,8428.0
1,6,252,8443.0
1,6,247,8443.0
1,6,143,8449.0
1,6,240,8442.0
1,6,195,8473.0
1,6,223,8476.0
1,6,210,8476.0
1,6,150,8484.0
1,6,242,8489.0
1,6,254,8492.0
1,6,111,8504.0
1,6,222,8516.0
1,6,199,8513.0
1,6,177,8515.0
1,6,218,8496.0
1,6,250,8469.0
1,6,182,8464.0
1,6,234,8429.0
1,6,248,8427.0
1,6,228,8323.0
1,7,291,8345.0
1,7,286,8344.0
1,7,283,8346.0
1,7,277,8345.0
1,7,276,8346.0
1,7,275,8344.0
1,7,272,8344.0
1,7,271,8346.0
1,7,267,8346.0
1,7,263,8344.0
1,7,294,8375.0
1,7,290,8375.0
1,7,279,8375.0
1,7,273,8375.0
1,7,284,8387.0
1,7,266,8386.0
1,7,265,8387.0
1,7,258,8387.0
1,7,287,8392.0
1,7,281,8393.0
1,7,274,8392.0
1,7,264,8392.0
1,7,261,8393.0
1,7,282,8407.0
1,7,262,8409.0
1,7,280,8403.0
1,7,278,8414.0
1,7,270,8423.0
1,7,260,8422.0
1,7,259,8422.0
1,7,285,8428.0
1,7,195,8473.0
1,7,295,8466.0
1,7,150,8484.0
1,7,242,8489.0
1,7,254,8492.0
1,7,289,8477.0
1,7,111,8504.0
1,7,199,8513.0
1,7,222,8516.0
1,7,177,8515.0
1,7,257,8522.0
1,7,218,8496.0
1,7,250,8469.0
1,7,256,8404.0
1,7,292,8356.0
1,7,268,8327.0
1,7,293,8321.0
1,7,288,8319.0
1,7,269,8322.0
1,8,335,8345.0
1,8,331,8343.0
1,8,327,8346.0
1,8,325,8346.0
1,8,321,8344.0
1,8,320,8346.0
1,8,316,8344.0
1,8,313,8346.0
1,8,312,8344.0
1,8,308,8344.0
1,8,303,8344.0
1,8,299,8346.0
1,8,307,8356.0
1,8,332,8367.0
1,8,305,8375.0
1,8,297,8375.0
1,8,328,8382.0
1,8,311,8382.0
1,8,326,8387.0
1,8,317,8386.0
1,8,300,8388.0
1,8,296,8386.0
1,8,309,8392.0
1,8,302,8392.0
1,8,310,8398.0
1,8,330,8435.0
1,8,315,8433.0
1,8,334,8442.0
1,8,333,8443.0
1,8,195,8473.0
1,8,150,8484.0
1,8,319,8489.0
1,8,242,8489.0
1,8,254,8492.0
1,8,111,8504.0
1,8,222,8516.0
1,8,199,8513.0
1,8,177,8515.0
1,8,323,8514.0
1,8,306,8529.0
1,8,257,8522.0
1,8,298,8512.0
1,8,218,8496.0
1,8,329,8463.0
1,8,301,8416.0
1,8,322,8418.0
1,8,304,8353.0
1,8,324,8333.0
1,8,314,8324.0
1,8,318,8318.0
1,9,375,8346.0
1,9,373,8346.0
1,9,371,8344.0
1,9,370,8346.0
1,9,363,8345.0
1,9,358,8344.0
1,9,357,8346.0
1,9,354,8344.0
1,9,350,8346.0
1,9,345,8344.0
1,9,342,8346.0
1,9,338,8346.0
1,9,374,8367.0
1,9,364,8375.0
1,9,361,8381.0
1,9,365,8387.0
1,9,352,8387.0
1,9,348,8387.0
1,9,346,8386.0
1,9,343,8387.0
1,9,340,8387.0
1,9,369,8393.0
1,9,368,8393.0
1,9,366,8392.0
1,9,337,8413.0
1,9,362,8409.0
1,9,359,8419.0
1,9,339,8408.0
1,9,360,8438.0
1,9,356,8430.0
1,9,341,8432.0
1,9,367,8458.0
1,9,150,8484.0
1,9,111,8504.0
1,9,199,8513.0
1,9,222,8516.0
1,9,177,8515.0
1,9,323,8514.0
1,9,306,8529.0
1,9,344,8526.0
1,9,336,8519.0
1,9,257,8522.0
1,9,298,8512.0
1,9,218,8496.0
1,9,351,8429.0
1,9,355,8427.0
1,9,372,8414.0
1,9,349,8324.0
1,9,353,8406.0
1,9,347,8780.0
1,10,409,8344.0
1,10,401,8346.0
1,10,395,8346.0
1,10,393,8344.0
1,10,388,8346.0
1,10,386,8344.0
1,10,383,8344.0
1,10,377,8346.0
1,10,376,8344.0
1,10,399,8375.0
1,10,379,8375.0
1,10,378,8375.0
1,10,411,8387.0
1,10,400,8387.0
1,10,392,8386.0
1,10,385,8387.0
1,10,380,8387.0
1,10,402,8392.0
1,10,398,8393.0
1,10,389,8398.0
1,10,407,8408.0
1,10,412,8412.0
1,10,390,8435.0
1,10,391,8438.0
1,10,408,8442.0
1,10,403,8442.0
1,10,404,8446.0
1,10,397,8461.0
1,10,414,8472.0
1,10,394,8476.0
1,10,410,8481.0
1,10,150,8484.0
1,10,387,8499.0
1,10,111,8504.0
1,10,222,8516.0
1,10,199,8513.0
1,10,415,8521.0
1,10,344,8526.0
1,10,306,8529.0
1,10,336,8519.0
1,10,257,8522.0
1,10,298,8512.0
1,10,396,8473.0
1,10,384,8474.0
1,10,413,8464.0
1,10,381,8458.0
1,10,406,8434.0
1,10,405,8432.0
1,10,382,8334.0
1,10,347,8780.0
1,11,453,8346.0
1,11,448,8344.0
1,11,447,8345.0
1,11,444,8344.0
1,11,436,8344.0
1,11,435,8344.0
1,11,431,8344.0
1,11,430,8346.0
1,11,429,8346.0
1,11,425,8344.0
1,11,418,8346.0
1,11,450,8351.0
1,11,439,8351.0
1,11,424,8375.0
1,11,423,8375.0
1,11,422,8375.0
1,11,420,8376.0
1,11,449,8368.0
1,11,445,8381.0
1,11,440,8393.0
1,11,416,8392.0
1,11,434,8402.0
1,11,443,8407.0
1,11,432,8407.0
1,11,455,8416.0
1,11,454,8442.0
1,11,442,8442.0
1,11,438,8453.0
1,11,419,8442.0
1,11,433,8456.0
1,11,452,8461.0
1,11,387,8499.0
1,11,446,8502.0
1,11,111,8504.0
1,11,199,8513.0
1,11,415,8521.0
1,11,344,8526.0
1,11,306,8529.0
1,11,336,8519.0
1,11,257,8522.0
1,11,298,8512.0
1,11,421,8429.0
1,11,428,8423.0
1,11,417,8419.0
1,11,451,8417.0
1,11,427,8408.0
1,11,441,8357.0
1,11,437,8354.0
1,11,426,8325.0
1,11,347,8780.0
1,12,483,8344.0
1,12,482,8344.0
1,12,480,8344.0
1,12,478,8344.0
1,12,476,8346.0
1,12,473,8344.0
1,12,471,8344.0
1,12,468,8344.0
1,12,467,8344.0
1,12,464,8346.0
1,12,475,8351.0
1,12,486,8376.0
1,12,477,8375.0
1,12,463,8375.0
1,12,466,8381.0
1,12,481,8387.0
1,12,472,8387.0
1,12,457,8386.0
1,12,489,8382.0
1,12,488,8392.0
1,12,470,8380.0
1,12,458,8382.0
1,12,485,8408.0
1,12,465,8408.0
1,12,479,8414.0
1,12,460,8413.0
1,12,469,8417.0
1,12,484,8423.0
1,12,461,8422.0
1,12,459,8422.0
1,12,487,8433.0
1,12,442,8442.0
1,12,456,8443.0
1,12,454,8442.0
1,12,438,8453.0
1,12,433,8456.0
1,12,452,8461.0
1,12,446,8502.0
1,12,199,8513.0
1,12,462,8500.0
1,12,415,8521.0
1,12,344,8526.0
1,12,306,8529.0
1,12,336,8519.0
1,12,257,8522.0
1,12,298,8512.0
1,12,474,8453.0
1,12,421,8429.0
1,12,490,8406.0
1,12,347,8780.0
1,13,524,8344.0
1,13,518,8345.0
1,13,517,8344.0
1,13,516,8344.0
1,13,514,8345.0
1,13,509,8346.0
1,13,504,8346.0
1,13,501,8344.0
1,13,499,8346.0
1,13,492,8346.0
1,13,523,8351.0
1,13,511,8375.0
1,13,497,8381.0
1,13,512,8387.0
1,13,507,8392.0
1,13,505,8399.0
1,13,498,8398.0
1,13,491,8384.0
1,13,525,8404.0
1,13,519,8407.0
1,13,479,8414.0
1,13,484,8423.0
1,13,442,8442.0
1,13,493,8429.0
1,13,503,8473.0
1,13,500,8477.0
1,13,502,8482.0
1,13,522,8496.0
1,13,446,8502.0
1,13,513,8515.0
1,13,199,8513.0
1,13,462,8500.0
1,13,415,8521.0
1,13,344,8526.0
1,13,306,8529.0
1,13,336,8519.0
1,13,495,8527.0
1,13,257,8522.0
1,13,298,8512.0
1,13,494,8450.0
1,13,474,8453.0
1,13,421,8429.0
1,13,496,8428.0
1,13,510,8418.0
1,13,521,8366.0
1,13,515,8360.0
