Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8346.0,8346.0
1,1,8375.0,8346.58
1,2,8388.0,8348.94
1,3,8388.0,8363.36
1,4,8514.0,8385.42
1,5,8514.0,8388.21568627451
1,6,8525.0,8399.38
1,7,8525.0,8421.274509803921
1,8,8525.0,8413.92
1,9,8529.0,8402.34
1,10,8529.0,8409.88
1,11,8529.0,8399.490196078432
1,12,8529.0,8405.82
1,13,8529.0,8409.795918367347
1,14,8529.0,8421.43137254902
1,15,8529.0,8427.549019607843
1,16,8529.0,8441.882352941177
1,17,8529.0,8435.641509433963
1,18,8529.0,8435.346153846154
1,19,8529.0,8434.333333333334
1,20,8529.0,8440.43137254902
1,21,8529.0,8435.764705882353
1,22,8529.0,8437.941176470587
1,23,8529.0,8440.980392156862
1,24,8529.0,8441.92
1,25,8529.0,8444.423076923076
1,26,8529.0,8441.588235294117
1,27,8529.0,8443.039215686274
1,28,8529.0,8449.923076923076
1,29,8529.0,8446.725490196079
1,30,8529.0,8445.384615384615
1,31,8529.0,8446.078431372549
1,32,8529.0,8444.235294117647
1,33,8529.0,8441.14
1,34,8532.0,8455.02
1,35,8532.0,8445.38
1,36,8532.0,8435.42
1,37,8532.0,8435.94
1,38,8532.0,8434.78431372549
1,39,8532.0,8433.098039215687
1,40,8532.0,8432.274509803921
1,41,8532.0,8422.377358490567
1,42,8532.0,8428.058823529413
1,43,8532.0,8432.372549019608
1,44,8532.0,8428.66
1,45,8532.0,8440.08
1,46,8532.0,8449.66
1,47,8532.0,8445.46
1,48,8532.0,8447.254901960785
1,49,8532.0,8457.196078431372
