Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8509.806723944843,8509.806723944843
1,1,8526.648378695703,8510.409526834279
1,2,8546.83070497619,8516.329152436418
1,3,8546.83070497619,8520.391224762843
1,4,8546.83070497619,8521.22870377301
1,5,8546.83070497619,8524.974318336413
1,6,8546.83070497619,8526.213915509703
1,7,8717.050273783107,8529.804337608626
1,8,8719.982421995697,8542.052912359351
1,9,8758.790509220946,8546.142357876153
1,10,8917.099727583376,8559.508812386408
1,11,8917.099727583376,8581.786594849977
1,12,8917.099727583376,8591.381651466212
1,13,8917.247027249521,8615.458620255915
1,14,8917.247027249521,8623.798156089084
1,15,8917.247027249521,8622.728338586443
1,16,8917.247027249521,8636.207381864013
1,17,8917.247027249521,8615.886794909791
1,18,8917.247027249521,8637.097016434464
1,19,8917.247027249521,8623.371493857932
1,20,8917.247027249521,8630.178803371224
1,21,8917.247027249521,8647.700371563002
1,22,8917.247027249521,8637.7838466556
1,23,8917.247027249521,8653.345903798667
1,24,8920.896205177649,8659.028281563591
1,25,8920.896205177649,8633.675872176504
1,26,8920.896205177649,8649.377464371548
1,27,8920.896205177649,8655.022089819713
1,28,8920.896205177649,8649.419382515483
1,29,8920.896205177649,8638.523181472836
1,30,9046.582462926131,8676.096666693998
1,31,9683.772233983162,8671.968474646555
1,32,9683.772233983162,8655.80610246362
1,33,9683.772233983162,8672.301900871378
1,34,9683.772233983162,8669.589081575139
1,35,9683.772233983162,8708.29826256326
1,36,9683.772233983162,8697.872238026868
1,37,9683.772233983162,8687.97501801995
1,38,9683.772233983162,8691.902430789916
1,39,9683.772233983162,8690.349229854735
1,40,9683.772233983162,8685.918223123514
1,41,9683.772233983162,8694.314752546086
1,42,9683.772233983162,8717.932408869128
1,43,9683.772233983162,8721.289084283086
1,44,9683.772233983162,8686.288624720093
1,45,9683.772233983162,8690.063927467476
1,46,9683.772233983162,8708.809685203178
1,47,9683.772233983162,8687.517691204566
1,48,9683.772233983162,8692.153389868046
1,49,9683.772233983162,8714.908690028016
