Simulacion,Generacion,Mejor Fitness,Fitness Promedio
2,0,8346.0,8346.0
2,1,8375.0,8346.4
2,2,8392.0,8349.12
2,3,8447.0,8360.8
2,4,8676.0,8393.12
2,5,8680.0,8408.62
2,6,8680.0,8409.36
2,7,8680.0,8432.96
2,8,8680.0,8441.82
2,9,8680.0,8453.686274509804
2,10,8799.0,8457.44
2,11,8799.0,8449.529411764706
2,12,8799.0,8482.450980392157
2,13,9621.0,8530.88
2,14,9621.0,8506.490196078432
2,15,9621.0,8513.5
2,16,9621.0,8522.52
2,17,9621.0,8499.08
2,18,9621.0,8515.94
2,19,9621.0,8512.686274509804
2,20,9621.0,8509.038461538461
2,21,9621.0,8519.24
2,22,9621.0,8517.673469387755
2,23,9621.0,8519.57142857143
2,24,9621.0,8541.122448979591
2,25,9621.0,8512.358490566037
2,26,9621.0,8523.836734693878
2,27,9621.0,8526.745098039215
2,28,9621.0,8527.941176470587
2,29,9621.0,8536.725490196079
2,30,9621.0,8549.551020408164
2,31,9621.0,8529.862745098038
2,32,9621.0,8534.38
2,33,9621.0,8539.313725490196
2,34,9621.0,8552.0
2,35,9621.0,8572.442307692309
2,36,9621.0,8551.666666666666
2,37,9621.0,8543.549019607843
2,38,9621.0,8558.72
2,39,9621.0,8548.52
2,40,9621.0,8552.06
2,41,9621.0,8537.019607843138
2,42,9688.0,8555.411764705883
2,43,9688.0,8546.0
2,44,9688.0,8549.70588235294
2,45,9688.0,8546.88
2,46,9688.0,8605.285714285714
2,47,9688.0,8612.039215686274
2,48,9688.0,8603.64
2,49,9688.0,8622.44
