simulacion,generacion,genome_id,fitness
1,1,50,8346.0
1,1,49,8346.0
1,1,48,8346.0
1,1,47,8346.0
1,1,46,8346.0
1,1,45,8346.0
1,1,44,8346.0
1,1,43,8346.0
1,1,42,8346.0
1,1,41,8346.0
1,1,40,8346.0
1,1,39,8346.0
1,1,38,8346.0
1,1,37,8346.0
1,1,36,8346.0
1,1,35,8346.0
1,1,34,8346.0
1,1,33,8346.0
1,1,32,8346.0
1,1,31,8346.0
1,1,30,8346.0
1,1,29,8346.0
1,1,28,8346.0
1,1,27,8346.0
1,1,26,8346.0
1,1,25,8346.0
1,1,24,8346.0
1,1,23,8346.0
1,1,22,8346.0
1,1,21,8346.0
1,1,20,8346.0
1,1,19,8346.0
1,1,18,8346.0
1,1,17,8346.0
1,1,16,8346.0
1,1,15,8346.0
1,1,14,8346.0
1,1,13,8346.0
1,1,12,8346.0
1,1,11,8346.0
1,1,10,8346.0
1,1,9,8346.0
1,1,8,8346.0
1,1,7,8346.0
1,1,6,8346.0
1,1,5,8346.0
1,1,4,8346.0
1,1,3,8346.0
1,1,2,8346.0
1,1,1,8346.0
1,2,95,8346.0
1,2,94,8346.0
1,2,93,8346.0
1,2,92,8346.0
1,2,91,8346.0
1,2,90,8346.0
1,2,89,8346.0
1,2,88,8344.0
1,2,87,8346.0
1,2,86,8346.0
1,2,85,8346.0
1,2,84,8346.0
1,2,83,8346.0
1,2,82,8344.0
1,2,81,8346.0
1,2,80,8346.0
1,2,79,8346.0
1,2,78,8344.0
1,2,77,8346.0
1,2,76,8346.0
1,2,75,8346.0
1,2,74,8346.0
1,2,73,8346.0
1,2,72,8346.0
1,2,71,8346.0
1,2,70,8346.0
1,2,69,8344.0
1,2,68,8346.0
1,2,67,8346.0
1,2,66,8346.0
1,2,65,8346.0
1,2,64,8344.0
1,2,62,8346.0
1,2,61,8346.0
1,2,60,8346.0
1,2,59,8346.0
1,2,58,8346.0
1,2,57,8346.0
1,2,56,8346.0
1,2,55,8346.0
1,2,54,8346.0
1,2,53,8346.0
1,2,52,8346.0
1,2,51,8346.0
1,2,5,8346.0
1,2,4,8346.0
1,2,3,8346.0
1,2,2,8346.0
1,2,1,8346.0
1,2,63,8386.0
1,3,135,8346.0
1,3,134,8346.0
1,3,133,8346.0
1,3,132,8346.0
1,3,131,8345.0
1,3,130,8346.0
1,3,129,8346.0
1,3,128,8346.0
1,3,127,8346.0
1,3,126,8346.0
1,3,124,8345.0
1,3,123,8346.0
1,3,122,8346.0
1,3,121,8345.0
1,3,120,8346.0
1,3,119,8346.0
1,3,118,8346.0
1,3,117,8346.0
1,3,116,8346.0
1,3,115,8344.0
1,3,114,8346.0
1,3,113,8344.0
1,3,111,8346.0
1,3,109,8346.0
1,3,108,8346.0
1,3,107,8346.0
1,3,106,8346.0
1,3,105,8346.0
1,3,4,8346.0
1,3,3,8346.0
1,3,2,8346.0
1,3,1,8346.0
1,3,104,8346.0
1,3,103,8345.0
1,3,102,8346.0
1,3,101,8346.0
1,3,100,8346.0
1,3,99,8346.0
1,3,98,8346.0
1,3,97,8346.0
1,3,96,8344.0
1,3,62,8346.0
1,3,61,8346.0
1,3,59,8346.0
1,3,55,8346.0
1,3,51,8346.0
1,3,125,8375.0
1,3,112,8375.0
1,3,110,8386.0
1,3,63,8386.0
1,4,175,8344.0
1,4,170,8346.0
1,4,169,8346.0
1,4,168,8346.0
1,4,167,8346.0
1,4,153,8345.0
1,4,151,8346.0
1,4,150,8346.0
1,4,149,8346.0
1,4,146,8346.0
1,4,1,8346.0
1,4,144,8346.0
1,4,143,8344.0
1,4,142,8346.0
1,4,141,8346.0
1,4,140,8346.0
1,4,139,8346.0
1,4,138,8346.0
1,4,137,8346.0
1,4,136,8346.0
1,4,62,8346.0
1,4,61,8346.0
1,4,59,8346.0
1,4,55,8346.0
1,4,51,8346.0
1,4,152,8357.0
1,4,162,8375.0
1,4,160,8376.0
1,4,157,8375.0
1,4,147,8375.0
1,4,125,8375.0
1,4,112,8375.0
1,4,158,8380.0
1,4,156,8381.0
1,4,173,8385.0
1,4,171,8387.0
1,4,161,8387.0
1,4,159,8386.0
1,4,155,8387.0
1,4,154,8385.0
1,4,148,8384.0
1,4,110,8386.0
1,4,63,8386.0
1,4,166,8391.0
1,4,165,8371.0
1,4,163,8383.0
1,4,174,8434.0
1,4,164,8434.0
1,4,145,8435.0
1,4,172,8432.0
1,5,215,8344.0
1,5,214,8346.0
1,5,204,8346.0
1,5,196,8344.0
1,5,193,8345.0
1,5,192,8346.0
1,5,189,8346.0
1,5,186,8345.0
1,5,180,8346.0
1,5,179,8346.0
1,5,178,8346.0
1,5,177,8346.0
1,5,176,8346.0
1,5,139,8346.0
1,5,138,8346.0
1,5,137,8346.0
1,5,136,8346.0
1,5,51,8346.0
1,5,212,8374.0
1,5,206,8375.0
1,5,197,8375.0
1,5,194,8375.0
1,5,187,8375.0
1,5,185,8375.0
1,5,183,8375.0
1,5,210,8381.0
1,5,200,8381.0
1,5,199,8373.0
1,5,211,8387.0
1,5,209,8387.0
1,5,205,8387.0
1,5,203,8387.0
1,5,202,8386.0
1,5,201,8387.0
1,5,191,8386.0
1,5,195,8391.0
1,5,184,8387.0
1,5,166,8391.0
1,5,181,8403.0
1,5,207,8434.0
1,5,174,8434.0
1,5,164,8434.0
1,5,145,8435.0
1,5,208,8440.0
1,5,190,8509.0
1,5,213,8411.0
1,5,172,8432.0
1,5,188,8333.0
1,5,182,8325.0
1,5,198,8617.0
1,6,254,8346.0
1,6,250,8344.0
1,6,247,8346.0
1,6,244,8345.0
1,6,243,8346.0
1,6,242,8344.0
1,6,240,8344.0
1,6,238,8346.0
1,6,236,8345.0
1,6,234,8344.0
1,6,233,8342.0
1,6,232,8345.0
1,6,227,8345.0
1,6,220,8346.0
1,6,218,8345.0
1,6,217,8346.0
1,6,216,8346.0
1,6,139,8346.0
1,6,138,8346.0
1,6,137,8346.0
1,6,136,8346.0
1,6,51,8346.0
1,6,249,8351.0
1,6,230,8351.0
1,6,228,8352.0
1,6,248,8375.0
1,6,231,8375.0
1,6,229,8375.0
1,6,226,8375.0
1,6,225,8375.0
1,6,224,8375.0
1,6,223,8375.0
1,6,222,8375.0
1,6,221,8376.0
1,6,219,8375.0
1,6,185,8375.0
1,6,245,8378.0
1,6,251,8378.0
1,6,235,8387.0
1,6,237,8391.0
1,6,164,8434.0
1,6,145,8435.0
1,6,208,8440.0
1,6,246,8456.0
1,6,241,8461.0
1,6,190,8509.0
1,6,253,8426.0
1,6,239,8428.0
1,6,252,8687.0
1,6,198,8617.0
1,7,282,8346.0
1,7,280,8346.0
1,7,279,8346.0
1,7,278,8344.0
1,7,274,8345.0
1,7,272,8345.0
1,7,269,8344.0
1,7,267,8346.0
1,7,265,8345.0
1,7,264,8345.0
1,7,139,8346.0
1,7,138,8346.0
1,7,137,8346.0
1,7,136,8346.0
1,7,51,8346.0
1,7,287,8375.0
1,7,286,8375.0
1,7,277,8376.0
1,7,271,8375.0
1,7,262,8375.0
1,7,261,8375.0
1,7,260,8375.0
1,7,259,8375.0
1,7,258,8375.0
1,7,257,8375.0
1,7,256,8375.0
1,7,255,8375.0
1,7,223,8375.0
1,7,222,8375.0
1,7,219,8375.0
1,7,185,8375.0
1,7,221,8376.0
1,7,285,8382.0
1,7,283,8386.0
1,7,275,8392.0
1,7,289,8398.0
1,7,273,8403.0
1,7,263,8420.0
1,7,246,8456.0
1,7,241,8461.0
1,7,266,8471.0
1,7,190,8509.0
1,7,276,8425.0
1,7,284,8420.0
1,7,288,8421.0
1,7,270,8442.0
1,7,268,8330.0
1,7,252,8687.0
1,7,281,8471.0
1,7,198,8617.0
1,8,323,8345.0
1,8,319,8344.0
1,8,318,8346.0
1,8,315,8346.0
1,8,314,8346.0
1,8,313,8344.0
1,8,311,8345.0
1,8,309,8346.0
1,8,308,8344.0
1,8,305,8344.0
1,8,303,8346.0
1,8,290,8346.0
1,8,139,8346.0
1,8,138,8346.0
1,8,137,8346.0
1,8,136,8346.0
1,8,51,8346.0
1,8,322,8376.0
1,8,306,8374.0
1,8,302,8375.0
1,8,300,8375.0
1,8,299,8375.0
1,8,298,8375.0
1,8,297,8375.0
1,8,296,8375.0
1,8,295,8375.0
1,8,293,8375.0
1,8,292,8375.0
1,8,291,8375.0
1,8,258,8375.0
1,8,257,8375.0
1,8,256,8375.0
1,8,185,8375.0
1,8,221,8376.0
1,8,312,8382.0
1,8,320,8386.0
1,8,307,8387.0
1,8,304,8386.0
1,8,294,8386.0
1,8,317,8393.0
1,8,316,8384.0
1,8,301,8391.0
1,8,321,8396.0
1,8,266,8471.0
1,8,190,8509.0
1,8,324,8505.0
1,8,252,8687.0
1,8,281,8471.0
1,8,198,8617.0
1,8,310,8432.0
1,9,360,8344.0
1,9,359,8345.0
1,9,358,8345.0
1,9,356,8344.0
1,9,355,8344.0
1,9,348,8346.0
1,9,347,8345.0
1,9,346,8346.0
1,9,345,8346.0
1,9,344,8344.0
1,9,340,8344.0
1,9,338,8345.0
1,9,337,8346.0
1,9,329,8345.0
1,9,325,8346.0
1,9,139,8346.0
1,9,138,8346.0
1,9,136,8346.0
1,9,51,8346.0
1,9,353,8362.0
1,9,352,8362.0
1,9,357,8375.0
1,9,350,8375.0
1,9,336,8375.0
1,9,335,8375.0
1,9,333,8375.0
1,9,185,8375.0
1,9,221,8376.0
1,9,322,8376.0
1,9,341,8385.0
1,9,339,8377.0
1,9,334,8386.0
1,9,332,8386.0
1,9,331,8387.0
1,9,330,8386.0
1,9,327,8387.0
1,9,326,8386.0
1,9,320,8386.0
1,9,294,8386.0
1,9,342,8392.0
1,9,328,8419.0
1,9,266,8471.0
1,9,190,8509.0
1,9,324,8505.0
1,9,351,8317.0
1,9,252,8687.0
1,9,349,8620.0
1,9,198,8617.0
1,9,354,8457.0
1,9,343,8433.0
1,10,395,8344.0
1,10,393,8344.0
1,10,391,8345.0
1,10,387,8346.0
1,10,386,8344.0
1,10,385,8344.0
1,10,384,8344.0
1,10,379,8346.0
1,10,376,8344.0
1,10,373,8346.0
1,10,372,8345.0
1,10,139,8346.0
1,10,138,8346.0
1,10,136,8346.0
1,10,51,8346.0
1,10,382,8351.0
1,10,380,8351.0
1,10,375,8351.0
1,10,381,8357.0
1,10,368,8370.0
1,10,392,8375.0
1,10,390,8375.0
1,10,389,8375.0
1,10,388,8375.0
1,10,361,8375.0
1,10,394,8381.0
1,10,366,8381.0
1,10,378,8388.0
1,10,371,8386.0
1,10,370,8386.0
1,10,369,8387.0
1,10,367,8387.0
1,10,364,8386.0
1,10,362,8387.0
1,10,326,8386.0
1,10,320,8386.0
1,10,294,8386.0
1,10,331,8387.0
1,10,327,8387.0
1,10,363,8398.0
1,10,383,8409.0
1,10,365,8403.0
1,10,328,8419.0
1,10,374,8482.0
1,10,190,8509.0
1,10,377,8517.0
1,10,324,8505.0
1,10,252,8687.0
1,10,349,8620.0
1,10,198,8617.0
1,11,429,8346.0
1,11,428,8344.0
1,11,426,8346.0
1,11,425,8344.0
1,11,424,8345.0
1,11,423,8344.0
1,11,422,8346.0
1,11,419,8344.0
1,11,416,8344.0
1,11,415,8345.0
1,11,413,8344.0
1,11,411,8344.0
1,11,409,8344.0
1,11,408,8346.0
1,11,407,8344.0
1,11,406,8345.0
1,11,138,8346.0
1,11,136,8346.0
1,11,51,8346.0
1,11,401,8346.0
1,11,430,8375.0
1,11,418,8375.0
1,11,414,8376.0
1,11,405,8376.0
1,11,400,8375.0
1,11,399,8375.0
1,11,412,8386.0
1,11,404,8387.0
1,11,403,8386.0
1,11,402,8387.0
1,11,398,8386.0
1,11,397,8386.0
1,11,396,8387.0
1,11,362,8387.0
1,11,331,8387.0
1,11,327,8387.0
1,11,363,8398.0
1,11,421,8414.0
1,11,365,8403.0
1,11,328,8419.0
1,11,417,8472.0
1,11,374,8482.0
1,11,190,8509.0
1,11,410,8528.0
1,11,377,8517.0
1,11,420,8447.0
1,11,252,8687.0
1,11,427,8626.0
1,11,349,8620.0
1,11,198,8617.0
1,12,457,8346.0
1,12,456,8344.0
1,12,455,8346.0
1,12,454,8344.0
1,12,453,8345.0
1,12,451,8344.0
1,12,446,8344.0
1,12,445,8344.0
1,12,444,8345.0
1,12,138,8346.0
1,12,136,8346.0
1,12,51,8346.0
1,12,437,8346.0
1,12,433,8345.0
1,12,459,8351.0
1,12,448,8351.0
1,12,439,8362.0
1,12,461,8375.0
1,12,458,8375.0
1,12,450,8375.0
1,12,399,8375.0
1,12,435,8375.0
1,12,452,8381.0
1,12,449,8382.0
1,12,443,8386.0
1,12,404,8387.0
1,12,402,8387.0
1,12,436,8387.0
1,12,434,8378.0
1,12,432,8387.0
1,12,331,8387.0
1,12,327,8387.0
1,12,396,8387.0
1,12,362,8387.0
1,12,438,8392.0
1,12,431,8399.0
1,12,363,8398.0
1,12,365,8403.0
1,12,328,8419.0
1,12,447,8366.0
1,12,441,8459.0
1,12,374,8482.0
1,12,442,8492.0
1,12,410,8528.0
1,12,462,8439.0
1,12,460,8431.0
1,12,440,8322.0
1,12,252,8687.0
1,12,427,8626.0
1,12,349,8620.0
1,12,198,8617.0
1,13,490,8346.0
1,13,486,8344.0
1,13,485,8345.0
1,13,484,8344.0
1,13,483,8345.0
1,13,481,8346.0
1,13,479,8346.0
1,13,477,8344.0
1,13,474,8344.0
1,13,471,8346.0
1,13,467,8346.0
1,13,437,8346.0
1,13,478,8351.0
1,13,480,8362.0
1,13,439,8362.0
1,13,489,8376.0
1,13,482,8375.0
1,13,476,8375.0
1,13,464,8376.0
1,13,399,8375.0
1,13,463,8381.0
1,13,443,8386.0
1,13,468,8387.0
1,13,466,8387.0
1,13,465,8387.0
1,13,432,8387.0
1,13,396,8387.0
1,13,362,8387.0
1,13,404,8387.0
1,13,402,8387.0
1,13,470,8379.0
1,13,438,8392.0
1,13,363,8398.0
1,13,431,8399.0
1,13,365,8403.0
1,13,473,8408.0
1,13,328,8419.0
1,13,472,8446.0
1,13,441,8459.0
1,13,374,8482.0
1,13,469,8497.0
1,13,442,8492.0
1,13,410,8528.0
1,13,475,8473.0
1,13,488,8429.0
