Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8346.0,8346.0
1,1,8346.0,8345.92
1,2,8428.0,8347.9
1,3,8466.0,8360.78
1,4,8510.0,8374.84
1,5,8519.0,8395.44
1,6,8519.0,8390.4
1,7,8519.0,8404.102040816326
1,8,8519.0,8406.176470588236
1,9,8519.0,8407.94
1,10,8519.0,8420.14
1,11,8519.0,8411.326530612245
1,12,8520.0,8421.28
1,13,8520.0,8416.94
1,14,8527.0,8431.86
1,15,8527.0,8425.634615384615
1,16,8527.0,8417.381818181819
1,17,8527.0,8418.944444444445
1,18,8527.0,8422.777777777777
1,19,8527.0,8426.764705882353
1,20,8527.0,8427.235294117647
1,21,8527.0,8425.941176470587
1,22,8527.0,8431.43137254902
1,23,8527.0,8425.547169811322
1,24,8527.0,8428.811320754718
1,25,8527.0,8431.615384615385
1,26,8527.0,8423.01923076923
1,27,8527.0,8421.333333333334
1,28,8527.0,8425.142857142857
1,29,8527.0,8419.725490196079
1,30,8527.0,8416.88679245283
1,31,8527.0,8416.56862745098
1,32,8527.0,8425.264150943396
1,33,8527.0,8428.72
1,34,8527.0,8424.038461538461
1,35,8527.0,8416.076923076924
1,36,8527.0,8420.68
1,37,8527.0,8415.8
1,38,8527.0,8410.254901960785
1,39,8527.0,8415.29411764706
1,40,8527.0,8419.52
1,41,8531.0,8423.96
1,42,8531.0,8422.224489795919
1,43,8531.0,8428.142857142857
1,44,8531.0,8435.68
1,45,8531.0,8431.16
1,46,8531.0,8436.26
1,47,8531.0,8432.48
1,48,8531.0,8435.16
1,49,8531.0,8450.52
