Simulacion,Generacion,Mejor Fitness,Fitness Promedio
2,0,8520.0,8520.0
2,1,8534.0,8520.74
2,2,8534.0,8523.74
2,3,8535.0,8528.56
2,4,8575.0,8531.68
2,5,8575.0,8531.56
2,6,8766.0,8536.46
2,7,8766.0,8536.70588235294
2,8,8774.0,8542.02
2,9,8774.0,8546.959183673469
2,10,8774.0,8546.333333333334
2,11,8791.0,8551.882352941177
2,12,8791.0,8555.68
2,13,8791.0,8553.960784313726
2,14,8791.0,8559.48
2,15,8791.0,8561.16
2,16,8791.0,8569.725490196079
2,17,8791.0,8569.588235294117
2,18,8791.0,8569.627450980392
2,19,8905.0,8589.43137254902
2,20,8929.0,8596.901960784313
2,21,8929.0,8591.549019607843
2,22,8929.0,8604.08
2,23,8929.0,8606.576923076924
2,24,8929.0,8617.254901960785
2,25,8929.0,8631.632653061224
2,26,9628.0,8656.755102040815
2,27,9628.0,8626.4
2,28,9628.0,8628.632653061224
2,29,9664.0,8663.039215686274
2,30,9664.0,8666.42
2,31,9664.0,8691.326530612245
2,32,9664.0,8657.411764705883
2,33,9664.0,8654.803921568628
2,34,9664.0,8656.938775510203
2,35,9664.0,8665.530612244898
2,36,9664.0,8678.66
2,37,9664.0,8689.9
2,38,9664.0,8686.42
2,39,9664.0,8722.591836734693
2,40,9664.0,8686.285714285714
2,41,9664.0,8697.6
2,42,9664.0,8738.627450980392
2,43,9664.0,8754.04
2,44,9664.0,8704.490196078432
2,45,9664.0,8756.48
2,46,9664.0,8733.9
2,47,9664.0,8738.36
2,48,9973.0,8756.8
2,49,9973.0,8774.32
