simulacion,generacion,genome_id,fitness
4,1,50,8520.0
4,1,49,8520.0
4,1,48,8520.0
4,1,47,8520.0
4,1,46,8520.0
4,1,45,8520.0
4,1,44,8520.0
4,1,43,8520.0
4,1,42,8520.0
4,1,41,8520.0
4,1,40,8520.0
4,1,39,8520.0
4,1,38,8520.0
4,1,37,8520.0
4,1,36,8520.0
4,1,35,8520.0
4,1,34,8520.0
4,1,33,8520.0
4,1,32,8520.0
4,1,31,8520.0
4,1,30,8520.0
4,1,29,8520.0
4,1,28,8520.0
4,1,27,8520.0
4,1,26,8520.0
4,1,25,8520.0
4,1,24,8520.0
4,1,23,8520.0
4,1,22,8520.0
4,1,21,8520.0
4,1,20,8520.0
4,1,19,8520.0
4,1,18,8520.0
4,1,17,8520.0
4,1,16,8520.0
4,1,15,8520.0
4,1,14,8520.0
4,1,13,8520.0
4,1,12,8520.0
4,1,11,8520.0
4,1,10,8520.0
4,1,9,8520.0
4,1,8,8520.0
4,1,7,8520.0
4,1,6,8520.0
4,1,5,8520.0
4,1,4,8520.0
4,1,3,8520.0
4,1,2,8520.0
4,1,1,8520.0
4,2,95,8520.0
4,2,94,8520.0
4,2,92,8520.0
4,2,91,8520.0
4,2,90,8520.0
4,2,89,8520.0
4,2,87,8520.0
4,2,86,8520.0
4,2,85,8520.0
4,2,84,8520.0
4,2,83,8520.0
4,2,82,8520.0
4,2,81,8520.0
4,2,80,8520.0
4,2,79,8520.0
4,2,78,8520.0
4,2,77,8520.0
4,2,76,8520.0
4,2,75,8520.0
4,2,74,8520.0
4,2,73,8520.0
4,2,72,8520.0
4,2,71,8520.0
4,2,70,8520.0
4,2,69,8520.0
4,2,68,8520.0
4,2,67,8520.0
4,2,66,8520.0
4,2,65,8520.0
4,2,64,8520.0
4,2,63,8520.0
4,2,62,8520.0
4,2,61,8520.0
4,2,60,8520.0
4,2,59,8520.0
4,2,58,8520.0
4,2,57,8520.0
4,2,56,8520.0
4,2,54,8520.0
4,2,52,8520.0
4,2,51,8520.0
4,2,5,8520.0
4,2,4,8520.0
4,2,3,8520.0
